id_distrito_local,Barrio,id_barrio
1,CORTES              ,1
1,EMBAJADORES         ,2
1,JUSTICIA            ,3
1,PALACIO             ,4
1,SOL                 ,5
1,UNIVERSIDAD         ,6
2,ACACIAS             ,7
2,ATOCHA              ,8
2,CHOPERA             ,9
2,DELICIAS            ,10
2,IMPERIAL            ,11
2,LEGAZPI             ,12
2,PALOS DE MOGUER     ,13
3,ADELFAS             ,14
3,ESTRELLA            ,15
3,IBIZA               ,16
3,LOS JERONIMOS       ,17
3,NI?O JESUS          ,18
3,PACIFICO            ,19
4,CASTELLANA          ,20
4,FUENTE DEL BERRO    ,21
4,GOYA                ,22
4,GUINDALERA          ,23
4,LISTA               ,24
4,RECOLETOS           ,25
5,CASTILLA            ,26
5,CIUDAD JARDIN       ,27
5,EL VISO             ,28
5,HISPANOAMERICA      ,29
5,NUEVA ESPA?A        ,30
5,PROSPERIDAD         ,31
6,ALMENARA            ,32
6,BELLAS VISTAS       ,33
6,BERRUGUETE          ,34
6,CASTILLEJOS         ,35
6,CUATRO CAMINOS      ,36
6,VALDEACEDERAS       ,37
7,ALMAGRO             ,38
7,ARAPILES            ,39
7,GAZTAMBIDE          ,40
7,RIOS ROSAS          ,41
7,TRAFALGAR           ,42
7,VALLEHERMOSO        ,43
8,EL GOLOSO           ,44
8,EL PARDO            ,45
8,EL PILAR            ,46
8,LA PAZ              ,47
8,MIRASIERRA          ,48
8,PE?A GRANDE         ,49
8,VALVERDE            ,50
9,ARAVACA             ,51
9,ARGUELLES           ,52
9,CASA DE CAMPO       ,53
9,CIUDAD UNIVERSITARIA,54
9,VALDEMARIN          ,55
9,VALDEZARZA          ,56
10,ALUCHE              ,57
10,CAMPAMENTO          ,58
10,CUATRO VIENTOS      ,59
10,LAS AGUILAS         ,60
10,LOS CARMENES        ,61
10,LUCERO              ,62
10,PUERTA DEL ANGEL    ,63
11,ABRANTES            ,64
11,BUENAVISTA          ,65
11,COMILLAS            ,66
11,OPA?EL              ,67
11,PUERTA BONITA       ,68
11,SAN ISIDRO          ,69
11,VISTA ALEGRE        ,70
12,ALMENDRALES         ,71
12,MOSCARDO            ,72
12,ORCASITAS           ,73
12,ORCASUR             ,74
12,PRADOLONGO          ,75
12,SAN FERMIN          ,76
12,ZOFIO               ,77
13,ENTREVIAS           ,78
13,NUMANCIA            ,79
13,PALOMERAS BAJAS     ,80
13,PALOMERAS SURESTE   ,81
13,PORTAZGO            ,82
13,SAN DIEGO           ,83
14,FONTARRON           ,84
14,HORCAJO             ,85
14,MARROQUINA          ,86
14,MEDIA LEGUA         ,87
14,PAVONES             ,88
14,VINATEROS           ,89
15,COLINA              ,90
15,CONCEPCION          ,91
15,COSTILLARES         ,92
15,PUEBLO NUEVO        ,93
15,QUINTANA            ,94
15,SAN JUAN BAUTISTA   ,95
15,SAN PASCUAL         ,96
15,VENTAS              ,97
17,BUTARQUE            ,98
17,LOS ANGELES         ,99
17,LOS ROSALES         ,100
17,SAN ANDRES          ,101
17,SAN CRISTOBAL       ,102
18,CASCO H.VALLECAS    ,103
18,ENSANCHE DE VALLECAS,104
18,SANTA EUGENIA       ,105
19,CASCO H.VICALVARO   ,106
19,VALDEBERNARDO,107
20,AMPOSTA             ,108
20,ARCOS               ,109
20,CANILLEJAS          ,110
20,EL SALVADOR         ,111
20,HELLIN              ,112
20,REJAS               ,113
20,ROSAS               ,114
20,SIMANCAS            ,115
21,AEROPUERTO          ,116
21,ALAMEDA DE OSUNA    ,117
21,CASCO H.BARAJAS     ,118
21,CORRALEJOS          ,119
21,TIMON               ,120
